candidate_id,year,tier,filename,http_status,file_size,local_check,gemini_check,user_note_status,recommendation,pages,answer_score,notice_score,notes,url,error
2019_tier1_prepp_shift1,2019,tier1,2019_tier1_prepp_shift1.pdf,200,3352732,probable_response_sheet_with_answers,not_run,user_notes_support_use,user_verified_candidate,28,24,0,"all the questions are rendered correctly , the correct answers are in green color",https://cdn-images.prepp.in/public/image/1c729eca123e38b7a49ba5bc672685cb.pdf,
2019_tier2_prepp_english,2019,tier2_paper1,2019_tier2_prepp_english.pdf,200,1748056,probable_response_sheet_with_answers,not_run,user_notes_support_use,user_verified_candidate,84,11,0,"all the questions are rendered correctly , the correct answers are in green color",https://cdn-images.prepp.in/public/image/SSC_CGL_English_Tier_II_Paper_2019__3d86aa9c9f31064f397a219c9c1d9329.pdf,
2019_tier2_prepp_quant,2019,tier2_paper1,2019_tier2_prepp_quant.pdf,200,2625660,probable_response_sheet_with_answers,not_run,user_notes_support_use,user_verified_candidate,28,28,0,"all the questions are rendered correctly , the correct answers are in green color, the questions are also mathematics so extraction could be a bit difficult because of the equations ",https://cdn-images.prepp.in/public/image/SSC_CGL_2019_TIER_2_NOVEMBER_15_2020_SHIFT_1__c18b66d136a5c8d6316ea5c036c30b87.pdf,
2020_tier1_prepp_shift1,2020,tier1,2020_tier1_prepp_shift1.pdf,200,2292451,probable_response_sheet_with_answers,not_run,user_notes_support_use,user_verified_candidate,27,28,0,"all the questions are rendered correctly , the correct answers are in green color, diagrams extraction could be a bit difficult",https://cdn-images.prepp.in/public/image/f154ffde8037864c52d42e547e886258.pdf,
2021_tier1_prepp_shift1,2021,tier1,2021_tier1_prepp_shift1.pdf,200,2516403,probable_question_only_or_weak_answers,gemini_question_only,user_notes_support_use,do_not_use_as_answer_key,44,0,0,no answer keys ib the pdf,https://cdn-images.prepp.in/public/image/SSC_CGL_2021_Tier_1_Shift_1_English_Question_Paper_and_Answer_Key_PDF_Apr_11_2022_1_44_a041005c72e86dc571daf908af7f45b2.pdf,
2021_tier2_prepp_english,2021,tier2_paper1,2021_tier2_prepp_english.pdf,200,2408519,probable_response_sheet_with_answers,not_run,user_notes_support_use,user_verified_candidate,87,16,0,"all the questions are rendered correctly , the correct answers are in green color",https://cdn-images.prepp.in/public/image/SSC_CGL_2021_Tier_II_English_8_Aug_2022_d1e9e1351ee87dfa7f29d32df56a00f1.pdf,
2022_tier1_prepp_shift1,2022,tier1,2022_tier1_prepp_shift1.pdf,200,3191354,manual_review,gemini_actual_answer_key_or_solved_paper,user_notes_support_use,user_verified_candidate,27,0,0,"all the questions are rendered correctly , the correct answers are in green color",https://cdn-images.prepp.in/public/image/0f90e69f5442c4671dd82906d5ee36e0.pdf,
2022_tier2_prepp_paper1,2022,tier2_paper1,2022_tier2_prepp_paper1.pdf,200,1803448,probable_response_sheet_with_answers,not_run,user_notes_support_use,user_verified_candidate,53,36,0,"all the questions are rendered correctly , the correct answers are in green color",https://cdn-images.prepp.in/public/image/2nd_March_English_dc191db4d9c5b557affc36665e8f549f.pdf,
2023_tier1_prepp_shift1,2023,tier1,2023_tier1_prepp_shift1.pdf,200,985346,probable_response_sheet_with_answers,not_run,user_notes_support_use,user_verified_candidate,28,24,0,"all the questions are rendered correctly , the correct answers are in green color",https://cdn-images.prepp.in/public/image/SSC_CGL_July_14_Shift_1_0fcbfcb87b5c32678d38fc8592d8751f.pdf,
2023_tier2_prepp_paper1,2023,tier2_paper1,2023_tier2_prepp_paper1.pdf,200,3161857,probable_response_sheet_with_answers,not_run,user_notes_support_use,user_verified_candidate,56,39,0,"all the questions are rendered correctly , the correct answers are in green color",https://cdn-images.prepp.in/public/image/SSC_CGL_Tier_2_Oct_26_2023_Shift_1_Question_Paper_with_Answers_a7b5f3fda97b11660f9d32d722db5e7e.pdf,
2024_tier1_prepp_shift1,2024,tier1,2024_tier1_prepp_shift1.pdf,200,2449528,probable_question_only_or_weak_answers,gemini_question_only,user_notes_support_use,do_not_use_as_answer_key,44,0,0,"all the questions are rendered correctly , the correct answers are in green color answer keys are not in here",https://cdn-images.prepp.in/public/image/SSC_CGL_2024_Tier_1_Shift_1_Question_Paper_with_Answer_Key_PDF_Sept_9_2024_1_44_988bb30196ade189a7ab6b24132f7714.pdf,
2024_tier2_prepp_paper1,2024,tier2_paper1,2024_tier2_prepp_paper1.pdf,200,2214040,manual_review,gemini_question_only,user_notes_support_use,do_not_use_as_answer_key,72,0,0,"all the questions are rendered correctly , the correct answers are in green color answer keys are not in here",https://cdn-images.prepp.in/public/image/SSC_CGL_2024_Tier_2_Paper_1_Question_Paper_with_Answer_Key_PDF_Jan_18_2025_1_72_2e9e40708703f8e835b81f14e080c753.pdf,
2024_tier1_kd_all_shifts,2024,tier1,2024_tier1_kd_all_shifts.pdf,403,0,not_validated,not_run,no_user_notes,download_failed,,,,,https://kdjobupdates.in/wp-content/uploads/2024/10/SSC-CGL-PRE-2024-AnswerKey-All-36-Shifts-English.pdf,HTTPError: 403 Client Error: Forbidden for url: https://kdjobupdates.in/wp-content/uploads/2024/10/SSC-CGL-PRE-2024-AnswerKey-All-36-Shifts-English.pdf
2024_tier1_appx_answer_key,2024,tier1,2024_tier1_appx_answer_key.pdf,200,1262719,probable_solved_or_answer_key,not_run,user_notes_support_use,user_verified_candidate,10,12,0,"the answer key is in the 10th page but only for  SSC CGL 2024 TIER-1 
(Number Classification) ",https://appxcontent.kaxa.in/notes/2024-11-29-0.44200023711047964.pdf,
2021_tier1_sscportal_shift1_response_sheet,2021,tier1,2021_tier1_sscportal_shift1_response_sheet.pdf,200,3495463,probable_response_sheet_with_answers,not_run,user_notes_support_use,user_verified_candidate,33,15,0,"all the questions are rendered correctly , the correct answers are in green color",https://sscportal.in/sites/default/files/ssc-cgl-tier-1-paper-2021-held-on-11-april-2022-shift-1-english-medium.pdf,
2024_tier1_sscportal_sep09_shift1_response_sheet,2024,tier1,2024_tier1_sscportal_sep09_shift1_response_sheet.pdf,200,2454483,probable_response_sheet_with_answers,not_run,user_notes_support_use,user_verified_candidate,39,27,0,"all the questions are rendered correctly , the correct answers are in green color",https://sscportal.in/sites/default/files/ssc-cgl-tier-1-paper-2024-sep-09-shift-1.pdf,
2024_tier2_sscportal_jan18_response_sheet,2024,tier2_paper1,2024_tier2_sscportal_jan18_response_sheet.pdf,200,3770515,probable_response_sheet_with_answers,not_run,user_notes_support_use,user_verified_candidate,61,24,0,"all the questions are rendered correctly , the correct answers are in green color",https://sscportal.in/sites/default/files/ssc-cgl-tier-2-paper-2024-held-on-18-january-2025.pdf,
2024_tier2_sscportal_jan19_response_sheet,2024,tier2_paper1,2024_tier2_sscportal_jan19_response_sheet.pdf,200,4729222,probable_response_sheet_with_answers,not_run,user_notes_support_use,user_verified_candidate,36,24,0,"all the questions are rendered correctly , the correct answers are in green color but the question book is a tier 2 paper 2 statistics",https://sscportal.in/sites/default/files/ssc-cgl-tier-2-paper-2024-held-on-19-january-2025.pdf,
2024_tier2_sscportal_jan20_response_sheet,2024,tier2_paper1,2024_tier2_sscportal_jan20_response_sheet.pdf,200,3934011,probable_response_sheet_with_answers,not_run,user_notes_support_use,user_verified_candidate,57,27,0,"all the questions are rendered correctly , the correct answers are in green color",https://sscportal.in/sites/default/files/ssc-cgl-tier-2-paper-2024-held-on-20-january-2025.pdf,
2020_tier2_kdcampus_answer_key,2020,tier2_paper1,2020_tier2_kdcampus_answer_key.pdf,200,243077,probable_solved_or_answer_key,gemini_actual_answer_key_or_solved_paper,user_notes_support_use,user_verified_candidate,34,3,0,the answer key is in the 34th page of the pdf ssc tier 2 english and comprehension paper,https://kdcampus.live/uploaded/content_data/CGLE_Tier-II_2019____29-01-2022_20220805044113.pdf,
2020_tier2_vault_quant_previous_year,2020,tier2_paper1,2020_tier2_vault_quant_previous_year.pdf,403,0,not_validated,not_run,no_user_notes,download_failed,,,,,https://vault.onedayexams.com/english_file_uploads/1747140805_SSC-CGL-2020-Tier-II-Quant-Previous-Year.pdf,HTTPError: 403 Client Error: Forbidden for url: https://vault.onedayexams.com/english_file_uploads/1747140805_SSC-CGL-2020-Tier-II-Quant-Previous-Year.pdf
