canonical_id,year,tier,artifact_type,source,source_trust_level,official_status,provisional_or_final,license_status,access_method,url,paper,shift,date,notes
ssc_cgl_2019_tier1_paper1_1_2019-06-04_question_paper,2019,tier1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-04-June-2019-Shift-1-English.pdf,paper1,1,2019-06-04,Public direct shift-wise Tier 1 PDF with inline answers.
ssc_cgl_2019_tier1_paper1_1_2019-06-04_solution_booklet,2019,tier1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-04-June-2019-Shift-1-English.pdf,paper1,1,2019-06-04,Same solved PDF as question row; inline answers satisfy pairing.
ssc_cgl_2019_tier2_paper1_na_2019-09-11_question_paper,2019,tier2_paper1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-11th-September-2019.pdf,paper1,na,2019-09-11,Public Tier 2 English variant PDF for 2019 cycle; gap-fill source.
ssc_cgl_2019_tier2_paper1_na_2019-09-11_solution_booklet,2019,tier2_paper1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-11th-September-2019.pdf,paper1,na,2019-09-11,Same public solved PDF as question row; inline answers satisfy pairing.
ssc_cgl_2020_tier1_paper1_1_2020-03-03_question_paper,2020,tier1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-03-March-2020-Shift-1-Hindi.pdf,paper1,1,2020-03-03,Public direct shift-wise Tier 1 PDF with inline answers.
ssc_cgl_2020_tier1_paper1_1_2020-03-03_solution_booklet,2020,tier1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-03-March-2020-Shift-1-Hindi.pdf,paper1,1,2020-03-03,Same solved PDF as question row; inline answers satisfy pairing.
ssc_cgl_2020_tier2_paper1_na_2020-11-15_question_paper,2020,tier2_paper1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-15th-November-2020.pdf,paper1,na,2020-11-15,Public Tier 2 English variant PDF for 2020 cycle; gap-fill source.
ssc_cgl_2020_tier2_paper1_na_2020-11-15_solution_booklet,2020,tier2_paper1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-15th-November-2020.pdf,paper1,na,2020-11-15,Same public solved PDF as question row; inline answers satisfy pairing.
ssc_cgl_2021_tier1_paper1_1_2021-08-13_question_paper,2021,tier1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-13-Aug-2021-Shift-1-English.pdf,paper1,1,2021-08-13,Public direct shift-wise Tier 1 PDF with inline answers.
ssc_cgl_2021_tier1_paper1_1_2021-08-13_solution_booklet,2021,tier1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-QUESTION-PAPER-13-Aug-2021-Shift-1-English.pdf,paper1,1,2021-08-13,Same solved PDF as question row; inline answers satisfy pairing.
ssc_cgl_2021_tier2_paper1_na_2022-01-29_question_paper,2021,tier2_paper1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-29th-January-2022.pdf,paper1,na,2022-01-29,Public Tier 2 English variant PDF for 2021 cycle; gap-fill source.
ssc_cgl_2021_tier2_paper1_na_2022-01-29_solution_booklet,2021,tier2_paper1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-29th-January-2022.pdf,paper1,na,2022-01-29,Same public solved PDF as question row; inline answers satisfy pairing.
ssc_cgl_2022_tier1_paper1_1_2022-12-01_question_paper,2022,tier1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/1-Dec-shift-1.pdf,paper1,1,2022-12-01,Public direct shift-wise Tier 1 PDF with inline answers.
ssc_cgl_2022_tier1_paper1_1_2022-12-01_solution_booklet,2022,tier1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/1-Dec-shift-1.pdf,paper1,1,2022-12-01,Same solved PDF as question row; inline answers satisfy pairing.
ssc_cgl_2022_tier2_paper1_na_2022-08-08_question_paper,2022,tier2_paper1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-8th-August-2022.pdf,paper1,na,2022-08-08,Public Tier 2 English variant PDF for 2022 cycle; gap-fill source.
ssc_cgl_2022_tier2_paper1_na_2022-08-08_solution_booklet,2022,tier2_paper1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-English-8th-August-2022.pdf,paper1,na,2022-08-08,Same public solved PDF as question row; inline answers satisfy pairing.
ssc_cgl_2023_tier1_paper1_1_2023-07-14_question_paper,2023,tier1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/14-July-shift-1-2023.pdf,paper1,1,2023-07-14,Public direct shift-wise Tier 1 PDF with inline answers.
ssc_cgl_2023_tier1_paper1_1_2023-07-14_solution_booklet,2023,tier1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/14-July-shift-1-2023.pdf,paper1,1,2023-07-14,Same solved PDF as question row; inline answers satisfy pairing.
ssc_cgl_2023_tier2_paper1_na_2023-03-02_question_paper,2023,tier2_paper1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-2nd-March-2023.pdf,paper1,na,2023-03-02,Public Tier 2 Paper 1 PDF with inline answers.
ssc_cgl_2023_tier2_paper1_na_2023-03-02_solution_booklet,2023,tier2_paper1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-2nd-March-2023.pdf,paper1,na,2023-03-02,Same solved PDF as question row; inline answers satisfy pairing.
ssc_cgl_2024_tier1_paper1_1_2024-09-10_question_paper,2024,tier1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/10-September-Shift-1.pdf,paper1,1,2024-09-10,Public direct shift-wise Tier 1 PDF with inline answers.
ssc_cgl_2024_tier1_paper1_1_2024-09-10_solution_booklet,2024,tier1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/10-September-Shift-1.pdf,paper1,1,2024-09-10,Same solved PDF as question row; inline answers satisfy pairing.
ssc_cgl_2024_tier2_paper1_na_2025-01-18_question_paper,2024,tier2_paper1,question_paper,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-Paper-1-18th-January-2025.pdf,paper1,na,2025-01-18,Public Tier 2 Paper 1 PDF for the 2024 cycle with inline answers.
ssc_cgl_2024_tier2_paper1_na_2025-01-18_solution_booklet,2024,tier2_paper1,solution_booklet,oliveboard,trusted_secondary,unofficial,na,unknown,manual,https://download.oliveboard.in/pdf/SSC-CGL-Tier-2-Paper-1-18th-January-2025.pdf,paper1,na,2025-01-18,Same solved PDF as question row; inline answers satisfy pairing.
ssc_cgl_multi_multi_na_na_na_frequency_analysis_oliveboard_quant,multi,multi,frequency_analysis,oliveboard,derived_reference,derived,na,unknown,manual,https://www.oliveboard.in/blog/most-repeated-quantitative-aptitude-questions-for-ssc-cgl-tier-2/,na,na,na,Derived-reference only. Repeated Quant questions analysis for atlas seeding; never mix into primary corpus.
ssc_cgl_multi_multi_na_na_na_frequency_analysis_oliveboard_english,multi,multi,frequency_analysis,oliveboard,derived_reference,derived,na,unknown,manual,https://www.oliveboard.in/blog/most-repeated-english-questions-for-ssc-cgl-tier-2/,na,na,na,Derived-reference only. Repeated English questions analysis for atlas seeding; never mix into primary corpus.
